date,precipitation,humidity
2021.4.19,,65.3
2021.4.20,,55.1
2021.4.21,,43.1
2021.4.22,,37.9
2021.4.23,0.00,41.4
2021.4.24,0.00,43
2021.4.25,,50
2021.4.26,,51.8
2021.4.27,1.70,62.4
2021.4.28,4.70,64.1
2021.4.29,3.90,54.1
2021.4.30,26.30,81.8
2021.5.1,8.00,80.8
2021.5.2,1.70,67.9
2021.5.3,,56.4
2021.5.4,19.60,82.6
2021.5.5,0.10,64.4
2021.5.6,,46.4
2021.5.7,8.80,60.3
2021.5.8,,66.1
2021.5.9,,51.3
2021.5.10,0.00,67.9
2021.5.11,,48.9
2021.5.12,,39.5
2021.5.13,,54.4
2021.5.14,,60.3
2021.5.15,15.00,79.5
2021.5.16,66.90,97.6
2021.5.17,3.10,93
2021.5.18,,70.5
2021.5.19,,52.3
2021.5.20,0.90,59.8
2021.5.21,6.90,86.5
2021.5.22,0.20,69.3
2021.5.23,,64.4
2021.5.24,,61
2021.5.25,8.30,72.3
2021.5.26,0.00,58.5
2021.5.27,8.90,83
2021.5.28,12.30,86
2021.5.29,0.30,79.8
2021.5.30,18.10,73
2021.5.31,4.00,78.9
2021.6.1,3.20,74.6
2021.6.2,,64.4
2021.6.3,18.10,80.8
2021.6.4,,69.4
2021.6.5,,68.1
2021.6.6,,69.6
2021.6.7,0.00,71.5
2021.6.8,0.10,69.6
2021.6.9,,59.1
2021.6.10,6.10,68.5
2021.6.11,4.60,84.5
2021.6.12,,74.6
2021.6.13,,72.6
2021.6.14,,68.8
2021.6.15,1.90,79.1
2021.6.16,,59.9
2021.6.17,0.00,71.4
2021.6.18,6.30,92.1
2021.6.19,,74
2021.6.20,,73.3
2021.6.21,,67
2021.6.22,0.00,67.9
2021.6.23,7.50,70.5
2021.6.24,,71.1
2021.6.25,,69
2021.6.26,4.50,78.5
2021.6.27,38.20,72.1
2021.6.28,0.10,76.4
2021.6.29,8.00,78.6
2021.6.30,6.00,77.9
2021.7.1,,70.9
2021.7.2,,64.1
2021.7.3,60.00,80
2021.7.4,21.40,96.8
2021.7.5,,80.3
2021.7.6,,73.4
2021.7.7,12.70,78.5
2021.7.8,2.90,81.6
2021.7.9,0.00,77.3
2021.7.10,0.50,80.4
2021.7.11,0.40,86.8
2021.7.12,,75.1
2021.7.13,,76.1
2021.7.14,,71.4
2021.7.15,0.00,71.1
2021.7.16,,68.4
2021.7.17,0.00,63.1
2021.7.18,,62.5
2021.7.19,67.40,80.1
2021.7.20,0.00,75.8
2021.7.21,,64
2021.7.22,,59.8
2021.7.23,,61.8
2021.7.24,,57.4
2021.7.25,,55.8
2021.7.26,,54.9
2021.7.27,,60.5
2021.7.28,0.00,67.4
2021.7.29,,69.9
2021.7.30,,63.1
2021.7.31,3.00,69.9
2021.8.1,21.00,81.8
2021.8.2,1.70,82.6
2021.8.3,0.00,76.9
2021.8.4,,70.6
2021.8.5,,68.1
2021.8.6,,68.4
2021.8.7,,65
2021.8.8,12.70,74.8
2021.8.9,,62.4
2021.8.10,,62.5
2021.8.11,0.00,70.3
2021.8.12,0.00,67.1
2021.8.13,,70.4
2021.8.14,,63.9
2021.8.15,,59.6
2021.8.16,0.00,61.1
2021.8.17,9.30,65
2021.8.18,5.60,69.6
2021.8.19,,57.1
2021.8.20,0.00,63.6
2021.8.21,62.80,88.1
2021.8.22,0.00,81.5
2021.8.23,7.40,89.3
2021.8.24,10.50,93.6
2021.8.25,0.30,85.5
2021.8.26,0.70,84.9
2021.8.27,0.90,83.5
2021.8.28,,80.4
2021.8.29,0.90,82.6
2021.8.30,0.00,77.5
2021.8.31,77.40,93.3
2021.9.1,0.80,83.1
2021.9.2,,70.3
2021.9.3,,60.3
2021.9.4,,57
2021.9.5,,61.1
2021.9.6,12.00,70.1
2021.9.7,29.60,98.1
2021.9.8,1.60,81.3
2021.9.9,,76.5
2021.9.10,,76
2021.9.11,,73.1
2021.9.12,,64.6
2021.9.13,,67.1
2021.9.14,,63.3
2021.9.15,,57.5
2021.9.16,,61.1
2021.9.17,,61.4
2021.9.18,,65.1
2021.9.19,,62.9
2021.9.20,,63.6
2021.9.21,68.10,85.1
2021.9.22,4.50,79
2021.9.23,,67.3
2021.9.24,,67.5
2021.9.25,,72.6
2021.9.26,,63
2021.9.27,0.00,66
2021.9.28,1.30,75.1
2021.9.29,13.10,93.5
2021.9.30,,83.9
2021.10.1,13.30,75.8
2021.10.2,,77.1
2021.10.3,,69.5
2021.10.4,3.60,81
2021.10.5,0.00,82.4
2021.10.6,6.40,91.5
2021.10.7,4.60,85.5
2021.10.8,3.50,91.3
2021.10.9,0.40,83.5
2021.10.10,14.20,89
2021.10.11,0.30,78.6
2021.10.12,,67.1
2021.10.13,,66.6
2021.10.14,,73.6
2021.10.15,0.00,74.4
2021.10.16,0.00,47.5
2021.10.17,,37.4
2021.10.18,5.60,60.4
2021.10.19,4.40,72.8
2021.10.20,,64.9
2021.10.21,,64.1
2021.10.22,,58.4
2021.10.23,,57.3
2021.10.24,,63.1
2021.10.25,,64.5
2021.10.26,,74.5
2021.10.27,0.00,63.4
2021.10.28,,54.6
2021.10.29,,55.9
2021.10.30,,62.4
2021.10.31,0.70,73.3
2021.11.1,,77.3
2021.11.2,,76.6
2021.11.3,,71.1
2021.11.4,0.00,80.4
2021.11.5,,68.5
2021.11.6,,61.1
2021.11.7,,57.5
2021.11.8,25.70,82.1
2021.11.9,2.00,80.3
2021.11.10,0.30,73.4
2021.11.11,0.00,60.6
2021.11.12,,55.4
2021.11.13,,66.1
2021.11.14,,69.8
2021.11.15,,71.3
2021.11.16,,65.5
2021.11.17,,64.1
2021.11.18,0.00,70.8
2021.11.19,,84.8
2021.11.20,,77
2021.11.21,5.90,74.4
2021.11.22,1.30,61.8
2021.11.23,,60.9
2021.11.24,0.00,64.3
2021.11.25,,55
2021.11.26,0.00,57.5
2021.11.27,,53
2021.11.28,,52.4
2021.11.29,,62
2021.11.30,27.20,80.4
2021.12.1,,51.8
2021.12.2,0.10,68.9
2021.12.3,0.40,53.3
2021.12.4,,48.5
2021.12.5,,50.4
2021.12.6,,61.4
2021.12.7,,68.3
2021.12.8,,70
2021.12.9,,70.3
2021.12.10,0.70,81.5
2021.12.11,,83.6
2021.12.12,,61.8
2021.12.13,,43.8
2021.12.14,1.20,64.9
2021.12.15,2.10,84.8
2021.12.16,0.00,71.6
2021.12.17,,50.5
2021.12.18,2.80,64.1
2021.12.19,0.20,63.8
2021.12.20,0.00,77.9
2021.12.21,,70.9
2021.12.22,,47.4
2021.12.23,,53.5
2021.12.24,0.20,65.3
2021.12.25,,42.4
2021.12.26,,43.5
2021.12.27,0.00,60.9
2021.12.28,,73.8
2021.12.29,0.20,72.9
2021.12.30,0.00,48.5
2021.12.31,,35.9
2022.1.1,,46.3
2022.1.2,0.30,57.9
2022.1.3,0.00,58.3
2022.1.4,0.00,51.8
2022.1.5,,47.6
2022.1.6,,47.1
2022.1.7,,47.1
2022.1.8,0.00,64.3
2022.1.9,,71.5
2022.1.10,0.90,68.3
2022.1.11,0.20,55.5
2022.1.12,,47.8
2022.1.13,,45.8
2022.1.14,,41.8
2022.1.15,0.00,48.3
2022.1.16,0.00,54.5
2022.1.17,0.50,59.9
2022.1.18,,47.9
2022.1.19,1.70,72.3
2022.1.20,,63.5
2022.1.21,,55.6
2022.1.22,,52.4
2022.1.23,,52.4
2022.1.24,,56
2022.1.25,0.70,80
2022.1.26,,62.8
2022.1.27,,50
2022.1.28,,51.6
2022.1.29,,48.9
2022.1.30,,45.4
2022.1.31,1.20,59
2022.2.1,1.70,76.6
2022.2.2,,60.5
2022.2.3,,52.4
